"id","nature_id","code","name","extra_heavy_load","oversized_load"
63,1,"63","LOS DEMÁS ARTÍCULOS TEXTILES CONFECCIONADOS; CONJUNTOS O SURTIDOS",False,False
64,1,"64","CALZADO; POLAINAS; BOTINES Y ARTÍCULOS ANÁLOGOS; PARTES DE ESTOS ARTÍCULOS",False,False
65,1,"65","ARTÍCULOS DE SOMBRERERÍA Y SUS PARTES",False,False
66,1,"66","PARAGUAS; SOMBRILLAS; QUITASOLES; BASTONES; BASTONES ASIENTO; LÁTIGOS",False,False
67,1,"67","PLUMAS Y PLUMÓN PREPARADOS Y ARTÍCULOS DE PLUMAS O PLUMÓN; FLORES",False,False
68,1,"68","MANUFACTURAS DE PIEDRA; YESO; CEMENTO; AMIANTO; MICA O MATERIAS",True,True
69,1,"69","PRODUCTOS CERÁMICOS",False,False
70,1,"70","VIDRIO Y MANUFACTURAS DE VIDRIO",False,False
71,1,"71","PERLAS FINAS O CULTIVADAS; PIEDRAS PRECIOSAS Y SEMIPRECIOSAS O SIMILARES",False,False
72,1,"72","FUNDICIÓN; HIERRO Y ACERO",True,True
73,1,"73","MANUFACTURAS DE FUNDICIÓN DE HIERRO O DE ACERO",False,True
74,1,"74","COBRE Y MANUFACTURAS DE COBRE",False,False
75,1,"75","NÍQUEL Y MANUFACTURAS DE NÍQUEL",False,False
76,1,"76","ALUMINIO Y MANUFACTURAS DE ALUMINIO",False,False
78,1,"78","PLOMO Y MANUFACTURAS DE PLOMO",False,False
79,1,"79","CINC Y MANUFACTURAS DE CINC",False,False
80,1,"80","ESTAÑO Y MANUFACTURAS DE ESTAÑO",False,False
81,1,"81","LOS DEMÁS METALES COMUNES; <<CERMETS>>; MANUFACTURAS DE ESTAS",False,False
82,1,"82","HERRAMIENTAS Y ÚTILES; ARTÍCULOS DE CUCHILLERÍA CUBIERTOS DE MESA; DE",False,False
83,1,"83","MANUFACTURAS DIVERSAS DE METALES COMUNES",True,True
84,1,"84","REACTORES NUCLEARES; CALDERAS; MÁQUINAS; APARATOS Y ARTEFACTOS",True,True
85,1,"85","MÁQUINA; APARATOS Y MATERIAL ELÉCTRICO Y SUS PARTES; APARATOS DE",True,True
86,1,"86","VEHÍCULOS Y MATERIAL PARA VÍAS FÉRREAS O SIMILARES Y SUS PARTES; APARATOS",True,True
87,1,"87","VEHÍCULOS AUTOMÓVILES; TRACTORES; CICLOS Y DEMÁS VEHÍCULOS TERRESTRES; SUS",True,True
88,1,"88","NAVEGACIÓN AÉREA O ESPACIAL",True,True
89,1,"89","NAVEGACIÓN MARÍTIMA O FLUVIAL",True,True
90,1,"90","INSTRUMENTOS Y APARATOS DE ÓPTICA; FOTOGRAFÍA O CINEMATOGRAFÍA",False,False
91,1,"91","RELOJERÍA",False,False
92,1,"92","INSTRUMENTOS DE MÚSICA; PARTES Y ACCESORIOS DE ESTOS INSTRUMENTOS",False,False
93,1,"93","ARMAS Y MUNICIONES Y SUS PARTES Y ACCESORIOS",True,True
94,1,"94","MUEBLES; MOBILIARIO MEDICOQUIRÚRGICO; ARTÍCULOS DE CAMA Y SIMILARES",False,False
95,1,"95","JUGUETES; JUEGOS Y ARTÍCULOS PARA RECREO O PARA DEPORTE; SUS PARTES Y",False,False
96,1,"96","MANUFACTURAS DIVERSAS",False,False
97,1,"97","OBJETOS DE ARTE, DE COLECCIÓN O DE ANTIGÜEDAD",True,True
98,1,"98","OTROS",False,False
99,1,"99","VARIOS",False,False
101,2,"1","CLASE 1 - EXPLOSIVOS",False,False
102,2,"2","CLASE 2 - GASES",False,False
103,2,"3","CLASE 3 - LÍQUIDOS INFLAMABLES",False,False
104,2,"4","CLASE 4 - SÓLIDOS INFLAMABLES",False,False
105,2,"5","CLASE 5 - SUSTANCIAS COMBURENTES Y PERÓXIDOS ORGÁNICOS",False,False
106,2,"6","CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS",False,False
107,2,"7","CLASE 7 - MATERIAL RADIACTIVO",False,False
108,2,"8","CLASE 8 - SUSTANCIAS CORROSIVAS",False,False
109,2,"9","CLASE 9 - SUSTANCIAS Y OBJETOS PELIGROSOS VARIOS",False,False
200,3,"DP","PELIGROSO",False,False
