"id","code","name","municipality_id","department_id","postal_code"
76147,"76147000","CARTAGO VALLE DEL CAUCA","76147","76","762021"
76233,"76233000","DAGUA VALLE DEL CAUCA","76233","76","760520"
76243,"76243000","EL AGUILA VALLE DEL CAUCA","76243","76","762001"
76246,"76246000","EL CAIRO VALLE DEL CAUCA","76246","76","761501"
76248,"76248000","EL CERRITO VALLE DEL CAUCA","76248","76","763520"
76250,"76250000","EL DOVIO VALLE DEL CAUCA","76250","76","761560"
76275,"76275000","FLORIDA VALLE DEL CAUCA","76275","76","763560"
76306,"76306000","GINEBRA VALLE DEL CAUCA","76306","76","763510"
76318,"76318000","GUACARI VALLE DEL CAUCA","76318","76","763501"
76364,"76364000","JAMUNDI VALLE DEL CAUCA","76364","76","764001"
76377,"76377000","LA CUMBRE VALLE DEL CAUCA","76377","76","760510"
76400,"76400000","LA UNION VALLE DEL CAUCA","76400","76","761540"
76403,"76403000","LA VICTORIA VALLE DEL CAUCA","76403","76","762510"
76497,"76497000","OBANDO VALLE DEL CAUCA","76497","76","762501"
76520,"76520000","PALMIRA VALLE DEL CAUCA","76520","76","763532"
76563,"76563000","PRADERA VALLE DEL CAUCA","76563","76","763550"
76606,"76606000","RESTREPO VALLE DEL CAUCA","76606","76","760540"
76616,"76616000","RIOFRIO VALLE DEL CAUCA","76616","76","761030"
76622,"76622000","ROLDANILLO VALLE DEL CAUCA","76622","76","761550"
76670,"76670000","SAN PEDRO VALLE DEL CAUCA","76670","76","763030"
76736,"76736000","SEVILLA VALLE DEL CAUCA","76736","76","762530"
76823,"76823000","TORO VALLE DEL CAUCA","76823","76","761520"
76828,"76828000","TRUJILLO VALLE DEL CAUCA","76828","76","761020"
76834,"76834000","TULUA VALLE DEL CAUCA","76834","76","763022"
76845,"76845000","ULLOA VALLE DEL CAUCA","76845","76","762030"
76863,"76863000","VERSALLES VALLE DEL CAUCA","76863","76","761530"
76869,"76869000","VIJES VALLE DEL CAUCA","76869","76","760550"
76890,"76890000","YOTOCO VALLE DEL CAUCA","76890","76","761040"
76892,"76892000","YUMBO VALLE DEL CAUCA","76892","76","760501"
76895,"76895000","ZARZAL VALLE DEL CAUCA","76895","76","762520"
81001,"81001000","ARAUCA ARAUCA","81001","81","810001"
81065,"81065000","ARAUQUITA ARAUCA","81065","81","816010"
81220,"81220000","CRAVO NORTE ARAUCA","81220","81","812010"
81300,"81300000","FORTUL ARAUCA","81300","81","814050"
81591,"81591000","PUERTO RONDON ARAUCA","81591","81","813010"
81736,"81736000","SARAVENA ARAUCA","81736","81","815010"
81794,"81794000","TAME ARAUCA","81794","81","814010"
