"id","name","scope","code"
"1","ATENCION DE URGENCIAS","health","01"
"2","ATENCION A CARGO DE ADRES O DE ASEGURADORA SOAT, PLANES VOLUNTARIOS DE SALUD","health","02"
"3","ATENCION EN SALUD POR FALLOS DE TUTELA/ORDENES JUDICIALES","health","03"
"4","ATENCION EN SALUD POR PORTABILIDAD O EN LOS CASOS DE ASIGNACION MASIVA DE AFILIADOS - ARTICULO 2.5.3.4.7.9 DEL DECRETO 780/2016","health","04"
"5","ATENCION EN SALUD EN CASOS EXCEPCIONALES POR COTIZACIONES O AUTORIZACIONES SIN CONTRATO ATENCIONES ADICIONALES EXCEPCIONALES","health","05"
"6","GESTION RECUPERACION DE ORGANOS PARA TRASPLANTE EN CUMPLIMIENTO LEY ESTATUTARIA 1751 DE 2015","health","06"
"7","PROFESIONALES INDEPENDIENTES EN ATENCION A PACIENTE PARTICULAR","health","07"
